x	y	key	showSelected1
1	0.766959090367982	1	n = 1
2	0.759086567746133	2	n = 2
3	0.537521550821255	3	n = 3
4	0.401289150467171	4	n = 4
5	0.0035326634015342	5	n = 5
6	0.855608072103513	6	n = 6
7	0.134043734006439	7	n = 7
8	0.806517911082696	8	n = 8
9	0.312553548127578	9	n = 9
10	0.443592587886633	10	n = 10
11	0.449148069665652	11	n = 11
12	0.345631206411253	12	n = 12
13	0.893581018461564	13	n = 13
14	0.852300801765077	14	n = 14
15	0.239807823323384	15	n = 15
16	0.498832720725438	16	n = 16
17	0.640636716197717	17	n = 17
18	0.80959520112229	18	n = 18
19	0.0180023308866591	19	n = 19
20	0.347763701737692	20	n = 20
21	0.748370700510858	21	n = 21
22	0.207845275039549	22	n = 22
23	0.654149560271575	23	n = 23
24	0.32238066307131	24	n = 24
25	0.719308117203012	25	n = 25
26	0.342909938751171	26	n = 26
27	0.0228824245006906	27	n = 27
28	0.513308411372814	28	n = 28
29	0.755769070984325	29	n = 29
30	0.338064541404735	30	n = 30
31	0.400176206753769	31	n = 31
32	0.670741907161576	32	n = 32
33	0.0261513746221702	33	n = 33
34	0.882940205115217	34	n = 34
35	0.287611611304375	35	n = 35
36	0.18766507108859	36	n = 36
37	0.77667373195549	37	n = 37
38	0.3460735136661	38	n = 38
39	0.934040918717371	39	n = 39
40	0.715813366841389	40	n = 40
41	0.0477464179981634	41	n = 41
42	0.239660359289823	42	n = 42
43	0.358738797132489	43	n = 43
44	0.191904115462613	44	n = 44
45	0.247743419775402	45	n = 45
46	0.394720712960784	46	n = 46
47	0.526121254490825	47	n = 47
48	0.97357810417538	48	n = 48
49	0.930860476367884	49	n = 49
50	0.886732208615481	50	n = 50
