xmin	xmax	clickSelects
0.5	1.5	n = 1
1.5	2.5	n = 2
2.5	3.5	n = 3
3.5	4.5	n = 4
4.5	5.5	n = 5
5.5	6.5	n = 6
6.5	7.5	n = 7
7.5	8.5	n = 8
8.5	9.5	n = 9
9.5	10.5	n = 10
10.5	11.5	n = 11
11.5	12.5	n = 12
12.5	13.5	n = 13
13.5	14.5	n = 14
14.5	15.5	n = 15
15.5	16.5	n = 16
16.5	17.5	n = 17
17.5	18.5	n = 18
18.5	19.5	n = 19
19.5	20.5	n = 20
20.5	21.5	n = 21
21.5	22.5	n = 22
22.5	23.5	n = 23
23.5	24.5	n = 24
24.5	25.5	n = 25
25.5	26.5	n = 26
26.5	27.5	n = 27
27.5	28.5	n = 28
28.5	29.5	n = 29
29.5	30.5	n = 30
30.5	31.5	n = 31
31.5	32.5	n = 32
32.5	33.5	n = 33
33.5	34.5	n = 34
34.5	35.5	n = 35
35.5	36.5	n = 36
36.5	37.5	n = 37
37.5	38.5	n = 38
38.5	39.5	n = 39
39.5	40.5	n = 40
40.5	41.5	n = 41
41.5	42.5	n = 42
42.5	43.5	n = 43
43.5	44.5	n = 44
44.5	45.5	n = 45
45.5	46.5	n = 46
46.5	47.5	n = 47
47.5	48.5	n = 48
48.5	49.5	n = 49
49.5	50.5	n = 50
